Vehículo;Nombres personalizados;Fecha de Recepción;Valor;Unidades
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:18:52;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:19:57;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:20:57;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:21:58;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:22:58;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:56:52;1.6;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:57:52;4.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:58:52;4.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 13:59:52;1.95;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:00:52;3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:01:52;1.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:02:52;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:03:52;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:13:07;3.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:14:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:15:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:16:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:17:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:18:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:19:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:20:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:21:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 14:22:07;0;L/hr
