Vehículo;Nombres personalizados;Fecha de Recepción;Valor;Unidades
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:18;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:19;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:20;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:21;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:22;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:56;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:57;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:58;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 13:59;36.78;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:00;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:01;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:02;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:03;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:13;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:14;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:15;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:16;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:17;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:18;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:19;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:20;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:21;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:22;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:23;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 14:26;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:20;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:21;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:22;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:23;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:25;36.78;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:26;36.78;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:27;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:28;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:29;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:30;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:31;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:32;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:33;36.78;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:34;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:35;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:36;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:37;35.51;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:38;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:39;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:40;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:41;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:42;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:43;35.51;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:44;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:45;35.51;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:46;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:47;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:48;36.78;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:49;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:50;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:51;35.51;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:52;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:53;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:54;35.51;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:55;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:56;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:57;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:58;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 16:59;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:00;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:01;35.51;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:02;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:03;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:04;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:05;35.51;Galones (US)
