tag;Vehículo;Nombres personalizados;Fecha de Recepción;Valor;Unidades
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 08:06:38;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 09:45:24;10,78;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 09:50:23;10,78;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 09:58:14;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 10:03:42;14,58;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 10:15:10;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 12:19:17;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 12:29:02;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 12:53:34;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 12:57:52;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 14:02:31;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 14:14:12;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 16:20:29;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 18:04:57;8,24;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 18:12:48;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 18:35:20;8,88;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 19:25:26;8,56;Galones (US)
1.data;AMC-859 CAN BUS;Combustible Mensaje tipo 9;07 dic 2020 19:55:51;8,56;Galones (US)
